datalogger,Site,Lat,Lon,Port,Sensor,Response 1,Response 2,Response 3,Response,SiteID,VariableID,MethodID,SourceID,QualityControlID
5G0E3559,Ru1BMP5,40.090220,-112.305391,1,MPS-2,Temperature,Water_Potential,,Water_Potential,3,17,60,1,0
5G0E3559,Ru1BMP5,40.090220,-112.305391,1,MPS-2,Temperature,Water_Potential,,Temperature,3,18,61,1,0
5G0E3559,Ru1BMP30,40.090220,-112.305390,2,MPS-6,Temperature,Water_Potential,,Water_Potential,3,20,62,1,0
5G0E3559,Ru1BMP30,40.090220,-112.305390,2,MPS-6,Temperature,Water_Potential,,Temperature,3,22,63,1,0
5G0E3559,Ru1BMPA,40.090220,-112.305392,3,SRS,Red,NIR,,Red,3,23,64,1,0
5G0E3559,Ru1BMPA,40.090220,-112.305392,3,SRS,Red,NIR,,NIR,3,25,65,1,0
5G0E3559,Ru1BMPA,40.090220,-112.305392,3,SRS,Red,NIR,NDVI,NDVI,3,43,72,1,0
5G0E3559,Ru1BMP5,40.090220,-112.305391,4,GS3,Temperature,VolumetricWaterContent,EC,,,,,,
5G0E3559,Ru1BMNU,40.090264,-112.305410,5,SRS,Red,NIR,NDVI,,,,,,
5G0E3562,Ru5BMM5,40.091665,-112.304519,1,MPS-6,Temperature,Water_Potential,,,,,,,
5G0E3562,Ru5BMM30,40.091665,-112.304518,2,MPS-6,Temperature,Water_Potential,,,,,,,
5G0E3562,Ru5BMMA,40.091665,-112.304520,3,SRS,Red,NIR,NDVI,,,,,,
5G0E3562,Ru5BMM5,40.091665,-112.304519,4,GS3,Temperature,VolumetricWaterContent,EC,,,,,,
5G0E3562,Ru5BMUA,40.091689,-112.304407,5,Temp/RH,Temperature,RelativeHumidity,,,,,,,
5G0E3563,Ru2BMP5,40.089919,-112.304396,1,MPS-6,Temperature,Water_Potential,,,,,,,
5G0E3563,Ru2BMP30,40.089919,-112.304395,2,MPS-6,Temperature,Water_Potential,,,,,,,
5G0E3563,Ru2BMPA,40.089919,-112.304397,3,SRS,Red,NIR,NDVI,,,,,,
5G0E3563,Ru2BMN5,40.089963,-112.304387,4,MPS-6,Temperature,Water_Potential,,,,,,,
5G0E3563,Ru2BMN5,40.089963,-112.304387,5,SRS,Red,NIR,NDVI,,,,,,
5G0E3564,Ru3BMM5,40.090790,-112.305208,1,MPS-6,Temperature,Water_Potential,,,,,,,
5G0E3564,Ru3BMM30,40.090790,-112.305207,2,MPS-6,Temperature,Water_Potential,,,,,,,
5G0E3564,Ru3BMMA,40.090790,-112.305209,3,SRS,Red,NIR,NDVI,,,,,,
5G0E3564,Ru3BMP5,40.090814,-112.305264,4,MPS-6,Temperature,Water_Potential,,,,,,,
5G0E3564,Ru3BMPA,40.090814,-112.305265,5,SRS,Red,NIR,NDVI,,,,,,
5G0E3565,Ru4BMP5,40.091860,-112.305805,1,MPS-6,Temperature,Water_Potential,,,,,,,
5G0E3565,Ru4BMP30,40.091860,-112.305804,2,MPS-6,Temperature,Water_Potential,,,,,,,
5G0E3565,Ru4BMPA,40.091860,-112.305806,3,SRS,Red,NIR,NDVI,,,,,,
5G0E3565,Ru4BMN5,40.091901,-112.305797,4,MPS-6,Temperature,Water_Potential,,,,,,,
5G0E3565,Ru4BMNA,40.091901,-112.305798,5,SRS,Red,NIR,NDVI,,,,,,
5G0E3566,Ru5BNM5,40.091868,-112.304361,1,MPS-6,Temperature,Water_Potential,,,,,,,
5G0E3566,Ru5BNM30,40.091868,-112.304360,2,MPS-6,Temperature,Water_Potential,,,,,,,
5G0E3566,Ru5BNMA,40.091868,-112.304362,3,SRS,Red,NIR,NDVI,,,,,,
5G0E3566,Ru5BNNA,40.091893,-112.304448,4,Rain,Precipitation,,,,,,,,
5G0E3566,Ru5BNMA,40.091868,-112.304362,5,Rain,Precipitation,,,,,,,,
5G0E3574,Ru1BNM5,40.090303,-112.305412,1,MPS-6,Temperature,Water_Potential,,,,,,,
5G0E3574,Ru1BNM30,40.090303,-112.305411,2,MPS-6,Temperature,Water_Potential,,,,,,,
5G0E3574,Ru1BNMA,40.090303,-112.305413,3,SRS,Red,NIR,NDVI,,,,,,
5G0E3574,Ru1BNP5,40.090160,-112.305741,4,MPS-6,Temperature,Water_Potential,,,,,,,
5G0E3574,Ru1BNPA,40.090160,-112.305742,5,SRS,Red,NIR,NDVI,,,,,,
5G0E3575,Ru2BMM5,40.090840,-112.304305,1,MPS-6,Temperature,Water_Potential,,,,,,,
5G0E3575,Ru2BMM30,40.090840,-112.304304,2,MPS-6,Temperature,Water_Potential,,,,,,,
5G0E3575,Ru2BMMA,40.090840,-112.304306,3,SRS,Red,NIR,NDVI,,,,,,
5G0E3575,Ru2BMNU,40.089963,-112.304388,4,SRS-Ni,Red,NIR,NDVI,,,,,,
5G0E3575,Ru2BMM5,40.090840,-112.304305,5,GS3,Temperature,VolumetricWaterContent,EC,,,,,,
5G0E3577,Ru2BNM5,40.090264,-112.304388,1,MPS-6,Temperature,Water_Potential,,,,,,,
5G0E3577,Ru2BNM30,40.090264,-112.304387,2,MPS-6,Temperature,Water_Potential,,,,,,,
5G0E3577,Ru2BNMA,40.090264,-112.304389,3,SRS,Red,NIR,NDVI,,,,,,
5G0E3577,Ru2BNM5,40.090264,-112.304388,4,GS3,Temperature,VolumetricWaterContent,EC,,,,,,
5G0E3577,Ru2BNNA,40.090000,-112.304390,5,PYR,Radiation,,,,,,,,
5G0E3578,Ru4BNC5,40.091536,-112.305423,1,MPS-6,Temperature,Water_Potential,,,,,,,
5G0E3578,Ru4BNC30,40.091536,-112.305422,2,MPS-6,Temperature,Water_Potential,,,,,,,
5G0E3578,Ru4BNCA,40.091536,-112.305424,3,SRS,Red,NIR,NDVI,,,,,,
5G0E3578,Ru4BNC5,40.091536,-112.305423,4,GS3,Temperature,VolumetricWaterContent,EC,,,,,,
5G0E3578,Ru4BNNU,40.091627,-112.305473,5,SRS-Ni,Red,NIR,NDVI,,,,,,
5G0E3580,Ru4BNP5,40.091662,-112.305482,1,MPS-6,Temperature,Water_Potential,,,,,,,
5G0E3580,Ru4BNP30,40.091662,-112.305481,2,MPS-6,Temperature,Water_Potential,,,,,,,
5G0E3580,Ru4BNPA,40.091662,-112.305483,3,SRS,Red,NIR,NDVI,,,,,,
5G0E3580,Ru4BNM5,40.091627,-112.305471,4,MPS-6,Temperature,Water_Potential,,,,,,,
5G0E3580,Ru4BNMA,40.091627,-112.305472,5,SRS,Red,NIR,NDVI,,,,,,
5G0E3582,Ru4BMM5,40.091836,-112.305759,1,MPS-6,Temperature,Water_Potential,,,,,,,
5G0E3582,Ru4BMM30,40.091836,-112.305758,2,MPS-6,Temperature,Water_Potential,,,,,,,
5G0E3582,Ru4BMMA,40.091836,-112.305760,3,SRS,Red,NIR,NDVI,,,,,,
5G0E3582,Ru4BMM5,40.091836,-112.305759,4,GS3,Temperature,VolumetricWaterContent,EC,,,,,,
5G0E3582,Ru4BMNA,40.091901,-112.305798,5,Sonic,WindSpeed,WindDirection,,,,,,,
5G0E3583,Ru5BNP5,40.091841,-112.304451,1,MPS-6,Temperature,Water_Potential,,,,,,,
5G0E3583,Ru5BNP30,40.091841,-112.304450,2,MPS-6,Temperature,Water_Potential,,,,,,,
5G0E3583,Ru5BNPA,40.091841,-112.304452,3,SRS,Red,NIR,NDVI,,,,,,
5G0E3583,Ru5BNN5,40.091893,-112.304446,4,MPS-6,Temperature,Water_Potential,,,,,,,
5G0E3583,Ru5BNNA,40.091893,-112.304447,5,SRS,Red,NIR,NDVI,,,,,,
5G0E3586,Ru5BMP5,40.091689,-112.304405,1,MPS-6,Temperature,Water_Potential,,,,,,,
5G0E3586,Ru5BMP30,40.091689,-112.304404,2,MPS-6,Temperature,Water_Potential,,,,,,,
5G0E3586,Ru5BMPA,40.091689,-112.304406,3,SRS,Red,NIR,NDVI,,,,,,
5G0E3586,Ru5BMC5,40.091604,-112.304349,4,MPS-6,Temperature,Water_Potential,,,,,,,
5G0E3586,Ru5BMCA,40.091604,-112.304350,5,SRS,Red,NIR,NDVI,,,,,,
5G0E3704,Ru1BMN5,40.090264,-112.305409,1,MPS-6,Temperature,Water_Potential,,,,,,,
5G0E3704,Ru1BMN30,40.090264,-112.305408,2,MPS-6,Temperature,Water_Potential,,,,,,,
5G0E3704,Ru1BMNA,40.090264,-112.305410,3,SRS,Red,NIR,NDVI,,,,,,
5G0E3704,Ru1BMM5,40.090304,-112.305393,4,MPS-6,Temperature,Water_Potential,,,,,,,
5G0E3704,Ru1BMMA,40.090304,-112.305394,5,SRS,Red,NIR,NDVI,,,,,,
5G0E3728,Ru1BNC5,40.089948,-112.305745,1,MPS-6,Temperature,Water_Potential,,,,,,,
5G0E3728,Ru1BNC30,40.089948,-112.305744,2,MPS-6,Temperature,Water_Potential,,,,,,,
5G0E3728,Ru1BNCA,40.089948,-112.305746,3,SRS,Red,NIR,NDVI,,,,,,
5G0E3728,Ru1BNC5,40.089948,-112.305745,4,GS3,Temperature,VolumetricWaterContent,EC,,,,,,
5G0E3728,Ru1BNNU,40.090275,-112.305420,5,SRS-Ni,Red,NIR,NDVI,,,,,,
5G0E3729,Ru2BNP5,40.090336,-112.304290,1,MPS-6,Temperature,Water_Potential,,,,,,,
5G0E3729,Ru2BNP30,40.090336,-112.304289,2,MPS-6,Temperature,Water_Potential,,,,,,,
5G0E3729,Ru2BNPA,40.090336,-112.304291,3,SRS,Red,NIR,NDVI,,,,,,
5G0E3729,Ru2BNC5,40.090272,-112.304288,4,MPS-6,Temperature,Water_Potential,,,,,,,
5G0E3729,Ru2BNCA,40.090272,-112.304289,5,SRS,Red,NIR,NDVI,,,,,,
5G0E3730,Ru3BMN5,40.090871,-112.305210,1,MPS-6,Temperature,Water_Potential,,,,,,,
5G0E3730,Ru3BMN30,40.090871,-112.305209,2,MPS-6,Temperature,Water_Potential,,,,,,,
5G0E3730,Ru3BMNA,40.090871,-112.305211,3,SRS,Red,NIR,NDVI,,,,,,
5G0E3730,Ru3BMN5,40.090871,-112.305210,4,GS3,Temperature,VolumetricWaterContent,EC,,,,,,
5G0E3730,Ru3BMNU,40.090871,-112.305212,5,SRS-Ni,Red,NIR,NDVI,,,,,,
rushBN-,Ru3BNM10,40.091072,-112.304773,1,5TE,Temperature,VolumentricWaterContent,EC,,,,,,
rushBN-,Ru3BNM5,40.091072,-112.304774,2,5TM,Temperature,VolumentricWaterContent,,,,,,,
rushBN-,Ru3BNM10,40.091072,-112.304773,3,5TM,Temperature,VolumentricWaterContent,,,,,,,
rushBN-,Ru3BNM5,40.091072,-112.304774,4,5TM,Temperature,VolumentricWaterContent,,,,,,,
rushBN+,Ru3BNP10,40.091010,-112.304987,1,5TE,Temperature,VolumentricWaterContent,EC,,,,,,
rushBN+,Ru3BNP5,40.091010,-112.304988,2,5TM,Temperature,VolumentricWaterContent,,,,,,,
rushBN+,Ru3BNP10,40.091010,-112.304987,3,5TM,Temperature,VolumentricWaterContent,,,,,,,
rushBN+,Ru3BNP5,40.091010,-112.304988,4,5TE,Temperature,VolumentricWaterContent,EC,,,,,,
rushBNc,Ru3BNC10,40.091096,-112.304924,1,5TE,Temperature,VolumentricWaterContent,EC,,,,,,
rushBNc,Ru3BNC5,40.091096,-112.304925,2,5TE,Temperature,VolumentricWaterContent,EC,,,,,,
rushBNc,Ru3BNC10,40.091096,-112.304924,3,5TM,Temperature,VolumentricWaterContent,,,,,,,
rushBNc,Ru3BNC5,40.091096,-112.304925,4,5TM,Temperature,VolumentricWaterContent,,,,,,,
rushBNcE,Ru3BNCA,40.091096,-112.304926,1,CupAnemometer,WindSpeed,WindDirection,,,,,,,
rushBNcE,Ru3BNCA,40.091096,-112.304926,2,Temp,Temperature,,,,,,,,
